	Shamrep1	Shamrep2	Shamrep3	ShamM1	ShamM2	MCAOrep1	MCAOrep2	MCAOrep3	MCAOrep4	MCAOrep5	D1M1	D1M2
1110038F14Rik	21.313131313131326	21.31313131313133	21.313131313131315	21.31313131313126	21.313131313131265	20.529581529581524	20.529581529581534	20.529581529581527	20.529581529581527	20.529581529581517	20.52958152958157	20.529581529581495
1110051M20Rik	23.4060606060606	23.4060606060606	23.406060606060603	23.40606060606062	23.40606060606062	23.13275613275613	23.132756132756125	23.13275613275613	23.13275613275613	23.132756132756132	23.132756132756107	23.132756132756153
1110057K04Rik	16.852525252525258	16.85252525252526	16.852525252525254	16.852525252525236	16.852525252525233	16.551226551226545	16.551226551226552	16.551226551226552	16.55122655122655	16.55122655122655	16.55122655122654	16.55122655122655
1110058L19Rik	24.98181818181817	24.98181818181817	24.981818181818173	24.98181818181819	24.981818181818184	24.196248196248195	24.196248196248195	24.196248196248195	24.196248196248195	24.196248196248195	24.19624819624817	24.196248196248177
1110059E24Rik	22.597979797979793	22.597979797979793	22.597979797979793	22.597979797979786	22.597979797979786	22.769119769119765	22.769119769119765	22.769119769119765	22.76911976911976	22.76911976911976	22.769119769119772	22.769119769119754
1110059G10Rik	25.121212121212118	25.121212121212114	25.121212121212118	25.12121212121212	25.12121212121212	24.076479076479075	24.076479076479075	24.076479076479075	24.076479076479075	24.076479076479075	24.076479076479067	24.07647907647907
1190002N15Rik	25.008080808080802	25.008080808080802	25.008080808080802	25.008080808080813	25.00808080808081	24.8080808080808	24.8080808080808	24.8080808080808	24.8080808080808	24.8080808080808	24.80808080808079	24.808080808080806
1190005I06Rik	13.654545454545445	13.65454545454544	13.654545454545456	13.654545454545481	13.654545454545493	17.075036075036067	17.07503607503606	17.075036075036067	17.075036075036067	17.075036075036078	17.075036075036046	17.075036075036113
1190007I07Rik	17.79191919191921	17.791919191919217	17.791919191919202	17.791919191919146	17.791919191919128	18.73737373737373	18.737373737373737	18.73737373737375	18.737373737373733	18.737373737373723	18.737373737373787	18.73737373737371
1200014J11Rik	12.898989898989942	12.89898989898996	12.898989898989921	12.898989898989754	12.898989898989763	12.69985569985569	12.699855699855714	12.699855699855705	12.699855699855686	12.699855699855666	12.69985569985585	12.699855699855656
1300002K09Rik	18.442424242424234	18.442424242424227	18.44242424242424	18.442424242424266	18.44242424242429	20.97691197691197	20.976911976911964	20.976911976911964	20.976911976911975	20.976911976911985	20.976911976911957	20.976911976912017
